,product_category_name,price,cumulative_sum,cumcut,label
0,beleza_saude,191012.7,191012.7,0.09942565358599387,"beleza_saude
USD: 191012.7"
1,cama_mesa_banho,177953.99,368966.69,0.19205400638130757,"cama_mesa_banho
USD: 177953.99"
2,relogios_presentes,165744.9,534711.59,0.2783273013561715,"relogios_presentes
USD: 165744.9"
3,esporte_lazer,149196.7,683908.29,0.35598695126622176,"esporte_lazer
USD: 149196.7"
4,informatica_acessorios,141512.61000000002,825420.9,0.42964688979339744,"informatica_acessorios
USD: 141512.61000000002"
5,utilidades_domesticas,110673.27,936094.17,0.4872543797888227,"utilidades_domesticas
USD: 110673.27"
6,moveis_decoracao,104318.93000000001,1040413.1000000001,0.5415543179428908,"moveis_decoracao
USD: 104318.93000000001"
7,cool_stuff,69387.54,1109800.6400000001,0.5776718196337431,"cool_stuff
USD: 69387.54"
8,brinquedos,69358.94,1179159.58,0.6137744344940731,"brinquedos
USD: 69358.94"
9,perfumaria,61392.34,1240551.9200000002,0.6457302862760412,"perfumaria
USD: 61392.34"
10,automotivo,57245.3,1297797.2200000002,0.6755275268114942,"automotivo
USD: 57245.3"
